url,title,company,sector,job_role,salary,qualification,specialization,location,gender,age_limit,openings,experience,job_type,open_until,description,skills,additional_skills,company_jobs_count,company_logo
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032702280734136,FACTORY WORKERS FRESHERS,Kovai racks India Private limited,Manufacturing,Machine Operator,"~15,000 p.m |",Job Fair,,Coimbatore,Male,19-45,25,1 Year,Regular,15-04-2025,"operating and maintaining industrial machinery to produce goods, ensuring quality, safety, and efficiency while following production specifications and safety protocols.","CNC Operator - Grinding Machine Centre, Cutting, Sanding and Planing, Diamond Processing - Laser Sawing Machine Operator, Die Bonding Operator, Helper Electrician",time management,11,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/2240130104241139.jpg
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032711104211603,Sales Manager,Esandhai Private Limited,Food Processing,SALES OFFICER,"25,000 - 50,000 p.m |",Job Fair,,Chennai,Male,25-35,10,4 Years,Regular,15-04-2025,"We're Hiring: Lead - Institution Sales - Chennai Are you a go-getter with a passion for sales in Fruits & Vegetables (F&V), Agri, or FMCG? Do you thrive in B2B sales and love building long-term client relationships? If yes, we want you on our team! Why Join Esandhai Pvt Ltd? At E Sandhai, we are transforming the agri-supply chain by delivering fresh, high-quality produce to businesses across Tamil Nadu. As we expand, we're looking for a self-driven Institution Sales Lead to take charge and grow our institutional sales. Job Summary: We are looking for a self-driven and dynamic Lead - Institution Sales to drive and expand our institutional sales across Tamil Nadu. The ideal candidate will have a proven track record in F&V, Agri, or FMCG sales, exceptional customer-handling skills, and a strong ability to build and maintain B2B relationships. Key Responsibilities: ✅ Develop and execute sales strategies to expand the institutional sales network across Tamil Nadu. ✅ Identify, acquire, and manage key institutional clients such as hotels, restaurants, caterers, corporate cafeterias, hospitals, and large-scale buyers. ✅ Build and maintain strong relationships with clients, ensuring long-term partnerships and repeat business. ✅ Conduct market research and competitor analysis to identify new business opportunities and industry trends. ✅ Negotiate contracts and pricing agreements with institutional buyers to maximize profitability. ✅ Collaborate with internal teams (operations, logistics, procurement) to ensure seamless order fulfillment and customer satisfaction. ✅ Track sales performance and meet/exceed revenue targets. ✅ Act as a brand ambassador for E Sandhai, promoting our commitment to quality and sustainable agricultural sourcing. ✅ Handle customer queries, grievances, and escalations in a professional and timely manner. Key Skills & Qualifications: Bachelor's degree in Business Administration, Sales, Marketing, or a related field. Minimum 3 years of experience in institutional sales within F&V, Agri, or FMCG industries. Strong B2B sales experience, especially in acquiring and managing large institutional buyers. Excellent negotiation and communication skills. Ability to travel extensively within Tamil Nadu as per business needs. Self-motivated, target-driven, and capable of working independently. Benefits: Competitive salary + performance-based incentives. Career growth in a fast-growing agri-supply chain company. Travel allowances & other perks. Application & Interview Process: To Apply: Send your resume - hr@esandhai.in.","Area Sales Officer, Marketing and Social Media manager, Product/Brand Manager",N/A,2,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/2231218140407304.jpg
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032701512410413,TRAINEE,ChipTest Engineering Private Limited,Electronics & Hardware,Mechanical Fitter,"15,000 - 25,000 p.m |",Job Fair,,Chennai,Male,18-24,5,2 Years,Regular,15-04-2025,"Assemble Mechanical products in Automation Machine, Designing the mechanical products. Analyze the diagram. Handling mechanical machines to drilling, trimming, etc…",Aerospace Structural Fitter,N/A,3,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/2220518132059863.png
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032502534325694,Supervisory,Sakthima Enterprises,Management and Entrepreneurship & Professional,Supervisor,"~15,000 p.m |",Job Fair,,Villupuram,Male,25-40,1,2 Years,Regular,15-04-2025,Properly maintain to the plant and also our employees,Manager /Supervisor Manufacturing Quality,Handling machines,2,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/LOGO2240606171724799.png
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032806184334441,ITI - Welder,NFA Life Secure Pvt Ltd,Manufacturing,Welder,"15,000 - 25,000 p.m |",Job Fair,,Chennai,Male,18-40,5,1 Year,Regular,15-04-2025,"Basic Qualification: ITI/ Diploma/apprenticeship experience as a fitter/ welder and the like. Certifications in Fitting/ Welding (TIG, ARC etc) ROLES & RESPONSIBILITIES: Execution Activities Interpret blueprints/ drawings and measurements to fabricate the system. Responsibility includes handling equipment (welding or otherwise), cutting, welding and fabricating pipeline systems, doing maintenance service, repairs etc. as per procedure to avoid unnecessary breakdown. Adhere to the work instructions/ SOPs during project execution. Abide by quality & safety regulations and wear required PPEs (Personal Protective Equipment like heat resistant gloves, protective masks, safety shoes etc.) while handling equipment and ensure zero non-compliance & accidents. Support site engineers during the testing phase of the distribution systems and ensure safety and functionality of the system. Assess welded surfaces, structures, and components to identify errors. Follow 5S and enable ease at mobilizing, erecting, commissioning, dismantling, and demobilizing. Follow appropriate storage procedures of chemicals/ equipment and consumables to ensure safety and maintenance. Undergo periodic training for knowledge gain and certifications for enhancing vocational skill levels to excel in current role and take higher responsibilities in the future.","Pipe Fitters, Pipeline Fitter & Maintenance",N/A,5,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/2231027225524537.png
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25033101010334744,ETP OPERATOR,Enzimas envirocare and technologies,Manufacturing,Trainee,"~15,000 p.m |",Job Fair,,Thiruchirappalli,Male,18-33,3,Fresher,Regular,15-04-2025,1. ETP OPERATOR 2. SUPERVISE THE ETP PLANT 3.TROBLESHOOT THE PROCESS 4.PUMP OPERATOR,Dewatering Pump Operator,N/A,5,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/2240222105523255.jpg
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032701595334847,ONROLL TRAINEE,INALFA GABRIEL SUNROOF SYSTEMS PVT LTD,Manufacturing,Machine Operator,"15,000 - 25,000 p.m |",Job Fair,,Kancheepuram,All,19-21,40,Fresher,Regular,15-04-2025,MACHINE OPERATOR,"Assembly Line Operator, Assembly Machine Operator",N/A,1,https://www.tnprivatejobs.tn.gov.in/asset/images/jobscommon.png
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032801191234353,Quality Inspection,PENTAPOLIS FOUNDATION,Manufacturing,Trainee,"15,000 - 25,000 p.m |",Job Fair,,Tiruvallur,All,18-30,100,Fresher,Trainee,15-04-2025,Inspection Manufacturing goods,Quality Control Inspector-Visual Inspection,N/A,2,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/LOGO2240127143251248.jpg
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032802421334649,Maintenance - Technician,Kovai racks India Private limited,Manufacturing,Maintenance Technician,"15,000 - 25,000 p.m |",Job Fair,,Coimbatore,Male,20-35,3,1 Year,Regular,15-04-2025,"plumbing, electrical work, and carpentry, alongside soft skills such as communication, problem-solving, and attention to detail.","Electrical Technician, Plumber (Maintenance and servicing)","those used to inspect, diagnose and solve problems with machines or buildings",11,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/2240130104241139.jpg
https://www.tnprivatejobs.tn.gov.in/candidate/Home/ca_jobfair_single/25032704362621213,Network Engineer,WWD Technologies India Private Limited,IT-ITES,Hardware Engineer,"~15,000 p.m |",Job Fair,,Thanjavur,Male,22-35,2,2 Years,Regular,15-04-2025,"Designing and implementing new solutions and testing the resilience of the existing network environment Maintaining and administering computer networks, including hardware, software applications and configurations Troubleshooting, diagnosing and finding solutions to potential network and system issues Monitoring performance and ensuring system availability and reliability Conducting regular maintenance tasks, such as managing security configurations, installing software patches and performing network upgrades Communicating and collaborating with third-party vendors that provide services to ensure networks operate as per expectations Ensuring and maintaining connectivity of different networks Updating existing network equipment and advising on the purchase of new systems Informing leaders and senior managers of network status Protecting data by maintaining firewalls, implementing data security systems and performing data backups when necessary Planning the ongoing development of the network Monitoring network usage","Hardware Engineer, Network Engineer, Network Management Engineer",N/A,7,https://www.tnprivatejobs.tn.gov.in/asset/docs/co_profilephoto/2231229122318881.jpg
